url,response,found_char_imgs,img_urls
http://www.getchu.com/soft.phtml?id=701106,200,True,"['http://www.getchu.com/brandnew/701106/c701106chara1.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara2.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara3.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara4.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara5.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara6.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara7.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara8.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara9.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara10.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara11.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara12.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara13.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara14.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara15.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara16.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara17.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara18.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara19.jpg', 'http://www.getchu.com/brandnew/701106/c701106chara20.jpg']"
http://www.getchu.com/soft.phtml?id=640585,200,True,"['http://www.getchu.com/brandnew/640585/c640585chara1.jpg', 'http://www.getchu.com/brandnew/640585/c640585chara2.jpg', 'http://www.getchu.com/brandnew/640585/c640585chara3.jpg', 'http://www.getchu.com/brandnew/640585/c640585chara4.jpg', 'http://www.getchu.com/brandnew/640585/c640585chara5.jpg', 'http://www.getchu.com/brandnew/640585/c640585chara6.jpg', 'http://www.getchu.com/brandnew/640585/c640585chara7.jpg', 'http://www.getchu.com/brandnew/640585/c640585chara8.jpg', 'http://www.getchu.com/brandnew/640585/c640585chara9.jpg', 'http://www.getchu.com/brandnew/640585/c640585chara10.jpg', 'http://www.getchu.com/brandnew/640585/c640585chara11.jpg']"
http://www.getchu.com/soft.phtml?id=1031,200,True,"['http://www.getchu.com/brandnew/1031/c1031chara1.jpg', 'http://www.getchu.com/brandnew/1031/c1031chara2.jpg', 'http://www.getchu.com/brandnew/1031/c1031chara3.jpg', 'http://www.getchu.com/brandnew/1031/c1031chara4.jpg', 'http://www.getchu.com/brandnew/1031/c1031chara5.jpg']"
http://www.getchu.com/soft.phtml?id=450445,200,True,"['http://www.getchu.com/brandnew/450445/c450445chara1.jpg', 'http://www.getchu.com/brandnew/450445/c450445chara2.jpg']"
http://www.getchu.com/soft.phtml?id=599325,200,True,"['http://www.getchu.com/brandnew/599325/c599325chara1.jpg', 'http://www.getchu.com/brandnew/599325/c599325chara2.jpg', 'http://www.getchu.com/brandnew/599325/c599325chara3.jpg', 'http://www.getchu.com/brandnew/599325/c599325chara4.jpg', 'http://www.getchu.com/brandnew/599325/c599325chara5.jpg', 'http://www.getchu.com/brandnew/599325/c599325chara6.jpg', 'http://www.getchu.com/brandnew/599325/c599325chara8.jpg']"
http://www.getchu.com/soft.phtml?id=645725,200,True,"['http://www.getchu.com/brandnew/645725/c645725chara1.jpg', 'http://www.getchu.com/brandnew/645725/c645725chara2.jpg', 'http://www.getchu.com/brandnew/645725/c645725chara3.jpg', 'http://www.getchu.com/brandnew/645725/c645725chara4.jpg', 'http://www.getchu.com/brandnew/645725/c645725chara5.jpg']"
http://www.getchu.com/soft.phtml?id=699411,200,True,"['http://www.getchu.com/brandnew/699411/c699411chara1.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara2.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara3.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara4.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara5.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara6.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara7.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara8.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara9.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara10.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara11.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara12.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara13.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara14.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara15.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara16.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara17.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara18.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara19.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara20.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara21.jpg', 'http://www.getchu.com/brandnew/699411/c699411chara22.jpg']"
http://www.getchu.com/soft.phtml?id=706959,200,True,"['http://www.getchu.com/brandnew/706959/c706959chara1.jpg', 'http://www.getchu.com/brandnew/706959/c706959chara2.jpg', 'http://www.getchu.com/brandnew/706959/c706959chara3.jpg', 'http://www.getchu.com/brandnew/706959/c706959chara4.jpg', 'http://www.getchu.com/brandnew/706959/c706959chara5.jpg', 'http://www.getchu.com/brandnew/706959/c706959chara6.jpg']"
http://www.getchu.com/soft.phtml?id=1484,200,True,"['http://www.getchu.com/brandnew/1484/c1484chara1.jpg', 'http://www.getchu.com/brandnew/1484/c1484chara2.jpg', 'http://www.getchu.com/brandnew/1484/c1484chara3.jpg']"
http://www.getchu.com/soft.phtml?id=25441,200,True,"['http://www.getchu.com/brandnew/25441/c25441chara1.jpg', 'http://www.getchu.com/brandnew/25441/c25441chara2.jpg', 'http://www.getchu.com/brandnew/25441/c25441chara3.jpg', 'http://www.getchu.com/brandnew/25441/c25441chara4.jpg']"
